date	time	open	high	low	close	tickvolume	volume	spread
2018.06.26	13:29:00	1.16667	1.16680	1.16656	1.16661	180	0	1
2018.06.26	13:30:00	1.16661	1.16663	1.16641	1.16646	138	0	1
2018.06.26	13:31:00	1.16648	1.16650	1.16636	1.16637	82	0	1
2018.06.26	13:32:00	1.16637	1.16651	1.16631	1.16642	172	0	2
2018.06.26	13:33:00	1.16642	1.16671	1.16639	1.16666	118	0	2
2018.06.26	13:34:00	1.16666	1.16666	1.16637	1.16637	197	0	1
2018.06.26	13:35:00	1.16637	1.16647	1.16630	1.16638	137	0	1
2018.06.26	13:36:00	1.16638	1.16644	1.16626	1.16626	91	0	1
2018.06.26	13:37:00	1.16626	1.16658	1.16626	1.16647	132	0	1
2018.06.26	13:38:00	1.16647	1.16672	1.16644	1.16668	105	0	2
2018.06.26	13:39:00	1.16668	1.16683	1.16654	1.16677	132	0	1
2018.06.26	13:40:00	1.16677	1.16688	1.16666	1.16683	98	0	2
2018.06.26	13:41:00	1.16683	1.16683	1.16656	1.16656	98	0	2
2018.06.26	13:42:00	1.16655	1.16663	1.16642	1.16647	76	0	1
2018.06.26	13:43:00	1.16647	1.16664	1.16643	1.16649	116	0	2
2018.06.26	13:44:00	1.16650	1.16671	1.16641	1.16661	138	0	1
2018.06.26	13:45:00	1.16661	1.16669	1.16656	1.16657	57	0	1
2018.06.26	13:46:00	1.16657	1.16668	1.16652	1.16668	72	0	1
2018.06.26	13:47:00	1.16668	1.16672	1.16658	1.16667	76	0	2
2018.06.26	13:48:00	1.16667	1.16679	1.16666	1.16677	44	0	2
2018.06.26	13:49:00	1.16677	1.16697	1.16670	1.16692	113	0	1
2018.06.26	13:50:00	1.16692	1.16696	1.16661	1.16663	127	0	1
2018.06.26	13:51:00	1.16663	1.16664	1.16661	1.16663	17	0	1
2018.06.26	13:52:00	1.16663	1.16681	1.16660	1.16663	78	0	1
2018.06.26	13:53:00	1.16663	1.16691	1.16661	1.16687	103	0	2
2018.06.26	13:54:00	1.16686	1.16687	1.16669	1.16672	98	0	2
2018.06.26	13:55:00	1.16673	1.16678	1.16657	1.16678	160	0	1
2018.06.26	13:56:00	1.16678	1.16690	1.16671	1.16673	89	0	1
2018.06.26	13:57:00	1.16673	1.16692	1.16671	1.16690	68	0	1
2018.06.26	13:58:00	1.16690	1.16708	1.16688	1.16707	68	0	1
2018.06.26	13:59:00	1.16707	1.16708	1.16693	1.16698	147	0	2
2018.06.26	14:00:00	1.16698	1.16698	1.16662	1.16697	189	0	1
2018.06.26	14:01:00	1.16697	1.16712	1.16696	1.16697	199	0	1
2018.06.26	14:02:00	1.16697	1.16710	1.16693	1.16702	130	0	2
2018.06.26	14:03:00	1.16701	1.16701	1.16688	1.16688	86	0	1
2018.06.26	14:04:00	1.16688	1.16699	1.16667	1.16692	128	0	1
2018.06.26	14:05:00	1.16691	1.16695	1.16680	1.16680	128	0	2
2018.06.26	14:06:00	1.16680	1.16690	1.16673	1.16685	133	0	2
2018.06.26	14:07:00	1.16685	1.16698	1.16658	1.16662	89	0	1
2018.06.26	14:08:00	1.16662	1.16665	1.16653	1.16662	58	0	2
2018.06.26	14:09:00	1.16662	1.16667	1.16655	1.16667	101	0	2
